Location,Cases,Deaths,Recov
United States[f],33416364,600067,No data
India,27729247,322512,25178011
Brazil,16471600,461142,14869696
France[g],5657572,109387,No data
Turkey[h],5235978,47271,5094279
Russia[i],5053748,120807,4670484
United Kingdom[j],4480945,127775,No data
Italy,4213055,126002,3845087
Argentina[k],3732200,77108,3288404
Germany[l],3695283,89008,3471139
Spain[m],3668658,79905,No data
Colombia,3342567,87207,3121888
Iran,2886111,79568,2410250
Poland,2871371,73682,2636675
Mexico,2411503,223455,1924865
Ukraine[n],2201472,50472,2036148
Peru,1951651,69202,1901998
Indonesia,1809926,50262,1659974
Czech Republic,1660935,30101,1617498
South Africa,1659070,56363,1554184
Netherlands[o],1644699,17615,No data
Canada[p],1375742,25462,1311651
Chile[q],1369756,29047,1295646
Philippines,1216582,20722,1142246
Iraq,1193608,16334,1107101
Romania,1077426,30247,1038539
Sweden,1068473,14451,No data
Belgium[r],1057903,24910,No data
Pakistan,916239,20680,836702
Portugal,848213,17023,808557
Israel[s],839392,6406,832455
Hungary,804032,29709,692248
Bangladesh,797386,12549,737408
Japan[t],738045,12819,666942
Jordan,734659,9436,713633
Serbia[u],712046,6844,No data
Switzerland[v],693023,10253,317600
Austria,644207,10592,627672
United Arab Emirates,567263,1673,547008
Malaysia,558534,2650,479666
Nepal,553422,7163,434750
Lebanon,539888,7711,516530
Morocco[w],518868,9138,506740
Saudi Arabia,448284,7334,430937
Ecuador,424741,20485,366425
Bulgaria,418221,17657,380359
Greece,400395,12024,363915
Belarus,392629,2831,383380
Slovakia,389440,12333,No data
Kazakhstan,383595,3914,351086
Panama,377428,6366,364783
Bolivia,366714,14435,291325
Croatia,355955,8002,345396
Paraguay,350613,8987,288232
Tunisia,343374,12574,301273
Georgia[x],342880,4739,325016
Azerbaijan[y],333559,4896,323198
Costa Rica,314102,3963,242019
Palestine,307569,3489,300125
Kuwait,306717,1764,291521
Dominican Republic,290526,3628,238810
Uruguay,288172,4176,246321
Denmark[z],279434,2516,263618
Lithuania,273866,4245,254322
Ethiopia,271200,4143,236774
Egypt[aa],260659,15009,191475
